CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
A2F9,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Regular Pay,,,2025-02-18,2025-03-20,
A2FA,AWE: Whole Economy Real Terms Year on Year three Month Growth (%): Seasonally Adjusted Regular Pay,,,2025-02-18,2025-03-20,
A2FC,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Regular Pay,£,,2025-02-18,2025-03-20,
A3WV,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Total Pay,,,2025-02-18,2025-03-20,
A3WW,AWE: Whole Economy Real Terms Year on Year Three Month Growth (%): Seasonally Adjusted Total Pay,,,2025-02-18,2025-03-20,
A3WX,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Total Pay,£,,2025-02-18,2025-03-20,
A48O,Employment rate Canada (OECD) seasonally adjusted,,,2025-02-18,2025-03-20,
A48P,Employment Rate Japan (OECD) seasonally adjusted,,,2025-02-18,2025-03-20,
A48Q,Employment Rate United States (OECD) seasonally adjusted,,,2025-02-18,2025-03-20,
A48Z,"Standardised ILO unemployment rates, seasonally adjusted, Romania - Eurostat",,,2025-02-18,2025-03-20,
A492,"Standardised ILO unemployment rates, seasonally adjusted, Bulgaria - Eurostat",,,2025-02-18,2025-03-20,
A493,Standardised ILO Unemployment rates - Total EU,,,2025-02-18,2025-03-20,
A494,International Comparison Employment rates - Romania,,,2025-02-18,2025-03-20,
A495,International Comparison employment rates - Bulgaria,,,2025-02-18,2025-03-20,
A496,International Comparison - Employment rates - Total EU,,,2025-02-18,2025-03-20,
A4AC,International Comparison Employment Rates - Cyprus,,,2025-02-18,2025-03-20,
A4AD,International Comparison Employment Rates - Czech Republic,,,2025-02-18,2025-03-20,
A4AE,International Comparison Employment Rates - Estonia,,,2025-02-18,2025-03-20,
A4AF,International Comparison Employment Rates - Hungary,,,2025-02-18,2025-03-20,
A4AG,International Comparison Employment Rates - Latvia,,,2025-02-18,2025-03-20,
A4AH,International Comparison Employment Rates - Lithuania,,,2025-02-18,2025-03-20,
A4AI,International Comparison Employment Rates - Malta,,,2025-02-18,2025-03-20,
A4AJ,International Comparison Employment Rates - Poland,,,2025-02-18,2025-03-20,
A4AK,International Comparison Employment Rates - Slovak Republic,,,2025-02-18,2025-03-20,
A4AL,International Comparison Employment Rates - Slovenia,,,2025-02-18,2025-03-20,
A4AN,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Cyprus Eurostat,,,2025-02-18,2025-03-20,
A4AO,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Czech Republic Eurostat,,,2025-02-18,2025-03-20,
A4AP,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Estonia Eurostat,,,2025-02-18,2025-03-20,
A4AQ,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Hungary Eurostat,,,2025-02-18,2025-03-20,
A4AR,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Latvia Eurostat,,,2025-02-18,2025-03-20,
A4AS,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Lithuania Eurostat,,,2025-02-18,2025-03-20,
A4AT,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Malta Eurostat,,,2025-02-18,2025-03-20,
A4AU,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Poland Eurostat,,,2025-02-18,2025-03-20,
A4AV,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovak Republic Eurostat,,,2025-02-18,2025-03-20,
A4AW,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovenia Eurostat,,,2025-02-18,2025-03-20,
AGNH,LFS: In employment: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNI,LFS: In employment: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNJ,LFS: In employment: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNK,LFS: In employment: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNL,LFS: In employment: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNM,LFS: In employment: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNN,LFS: In employment: Aged 16-17: Not in full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNO,LFS: In employment: Aged 18-24: Not in full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNP,LFS: In employment: Aged 16-24: Not in full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNR,LFS: In employment: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNS,LFS: In employment: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNT,LFS: In employment: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNU,LFS: In employment: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNV,LFS: In employment: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNW,LFS: In employment: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNX,LFS: In employment: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNY,LFS: In employment: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGNZ,LFS: In employment: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOJ,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOK,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOL,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOM,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGON,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOO,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOP,LFS: Unemployed: Aged 16-17: Not in full-time educ.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOQ,LFS: Unemployed: Aged 18-24: Not in full-time educ.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOR,LFS: Unemployed: Aged 16-24: Not in full-time educ.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOS,LFS: Unemployed: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOT,LFS: Unemployed: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOU,LFS: Unemployed: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOV,LFS: Unemployed: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOW,LFS: Unemployed: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOX,LFS: Unemployed: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOY,LFS: Unemployed: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGOZ,LFS: Unemployed: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPA,LFS: Unemployed: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPK,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPL,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPM,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPN,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPO,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPP,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPQ,LFS: Econ. inactive: Aged 16-17: Not in full-time education.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPR,LFS: Econ. inactive: Aged 18-24: Not in full-time education.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPS,LFS: Econ. inactive: Aged 16-24: Not in full-time education.: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPT,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPU,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPV,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPW,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPX,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGPY,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2025-02-18,2025-03-20,
AGTD,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGTF,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AGTO,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2025-02-18,2025-03-20,
AIVZ,LFS: Employment rate: Aged 16-24: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIWC,LFS: Employment rate: Aged 16-24: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIWF,LFS: Employment rate: Aged 16-24: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIWG,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIWH,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIWI,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIWJ,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIWK,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIWL,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIWM,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIWN,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIWX,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Female: %: SA,,%,2025-02-18,2025-03-20,
AIWY,LFS: Employment rate: Aged 16-17: In full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXA,LFS: Employment rate: Aged 18-24: In full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXB,LFS: Employment rate: Aged 16-24: In full-time education: UK: All: %: SA,,%,2025-02-18,2025-03-20,
AIXC,LFS: Employment rate: Aged 16-17: In full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIXD,LFS: Employment rate: Aged 18-24: In full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
AIXE,LFS: Employment rate: Aged 16-24: In full-time education: UK: Male: %: SA,,%,2025-02-18,2025-03-20,
