CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
AGLX,Claimant Count : K02000001 UK : People : All ages : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGLZ,Claimant Count : K02000001 UK : People : All ages : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGMA,Claimant Count : K02000001 UK : Men : 25-49 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGMC,Claimant Count : K02000001 UK : People : All ages : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGMD,Claimant Count : K02000001 UK : People : All ages : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGMY,Claimant Count : K02000001 UK : People : All ages : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
AGMZ,Claimant Count : K02000001 UK : People : All ages : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGNA,Claimant Count : K02000001 UK : People : 18-24 yrs : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGNB,Claimant Count : K02000001 UK : People : 18-24 yrs : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGNC,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 6 and up to 12 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGND,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 12 Months : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGNE,Claimant Count : K02000001 UK : People : 18-24 yrs : Percentage Over 12 Months : SA : (%),,%,2025-02-18,2025-03-20,
AGNF,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 24 Months  : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGNG,Claimant Count : K02000001 UK : Men : All ages  : Computerised claims only : SA : Thousands,,000's,2025-02-18,2025-03-20,
AGXK,Claimant Count : K02000001 UK : Men : All ages  : Up to 6 months : SA : Thousands,,000's,2025-02-18,2025-03-20,
ALY5,UK Vacancies by size of enterprise - 1-9 employed (thousands),,,2025-02-18,2025-03-20,
ALY6,UK Vacancies by size of enterprise - 10-49 employed (thousands),,,2025-02-18,2025-03-20,
ALY7,UK Vacancies by size of enterprise - 50-249 employed (thousands),,,2025-02-18,2025-03-20,
ALY8,UK Vacancies by size of enterprise - 250-2499 employed (thousands),,,2025-02-18,2025-03-20,
ALY9,UK Vacancies by size of enterprise - 2500+ employed (thousands),,,2025-02-18,2025-03-20,
AP2Y,UK Vacancies (thousands) - Total,,,2025-02-18,2025-03-20,
AP2Z,UK Job Vacancies ratio per 100 emp jobs - Total,,,2025-02-18,2025-03-20,
BCJA,Claimant Count : K02000001 UK : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCJB,Claimant Count : K02000001 UK : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
BCJD,Claimant Count : K02000001 UK : People : SA : Thousands,,,2025-02-18,2025-03-20,
BCJE,Claimant Count : K02000001 UK : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
BCJG,Claimant Count : K03000001 GB : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCJH,Claimant Count : K03000001 GB : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
BCJI,Claimant Count : K03000001 GB : Men : NSA : Thousands,,,2025-02-18,2025-03-20,
BCJJ,Claimant Count : K03000001 GB : Women : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKB,Claimant Count : E12000003 Yorkshire and The Humber : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKC,Claimant Count : E12000004 East Midlands : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKF,Claimant Count : E12000009 South West  : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKG,Claimant Count : E12000005 West Midlands : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKI,Claimant Count : W92000004 Wales  : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKJ,Claimant Count : S92000003 Scotland : People : NSA : Thousands,,,2025-02-18,2025-03-20,
BCKK,Claimant Count : N92000002 Northern Ireland : People : NSA : Thousands,,,2025-02-18,2025-03-20,
DPAA,Claimant Count : K02000001 UK : Men : NSA : Thousands,,,2025-02-18,2025-03-20,
DPAB,Claimant Count : K02000001 UK : Women : NSA : Thousands,,,2025-02-18,2025-03-20,
DPAC,Claimant Count : K02000001 UK : Men : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAD,Claimant Count : K02000001 UK : Women : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAE,Claimant Count : K02000001 UK : Men : SA : Thousands,,,2025-02-18,2025-03-20,
DPAF,Claimant Count : K02000001 UK : Women : SA : Thousands,,,2025-02-18,2025-03-20,
DPAG,Claimant Count : K03000001 GB : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPAH,Claimant Count : K02000001 UK : Men : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAI,Claimant Count : K02000001 UK : Women : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAJ,Claimant Count : K03000001 GB : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAM,Claimant Count : E12000003 Yorkshire and The Humber : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAN,Claimant Count : E12000004 East Midlands : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAQ,Claimant Count : E12000009 South West  : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAR,Claimant Count : E12000005 West Midlands : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAT,Claimant Count : W92000004 Wales  : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAU,Claimant Count : S92000003 Scotland : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAV,Claimant Count : N92000002 Northern Ireland : People : NSA : Percentage (%),,%,2025-02-18,2025-03-20,
DPAX,Claimant Count : E12000003 Yorkshire and The Humber : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPAY,Claimant Count : E12000004 East Midlands : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBB,Claimant Count : E12000009 South West  : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBC,Claimant Count : E12000005 West Midlands : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBE,Claimant Count : W92000004 Wales  : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBF,Claimant Count : S92000003 Scotland : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBG,Claimant Count : N92000002 Northern Ireland : People : SA : Thousands,,,2025-02-18,2025-03-20,
DPBI,Claimant Count : E12000003 Yorkshire and The Humber : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPBJ,Claimant Count : E12000004 East Midlands : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPBM,Claimant Count : E12000009 South West  : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPBN,Claimant Count : E12000005 West Midlands : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPBP,Claimant Count : W92000004 Wales  : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
DPBQ,Claimant Count : S92000003 Scotland : People : SA : Percentage (%),,%,2025-02-18,2025-03-20,
