geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000530,Aldershot,Aged 16+,Total,2170.0,84204.0,2.577074723291055
E14000530,Aldershot,Aged 16-24,Total,350.0,9622.0,3.6374974017875696
E14000531,Aldridge-Brownhills,Aged 16+,Total,1370.0,63864.0,2.1451835149693097
E14000531,Aldridge-Brownhills,Aged 16-24,Total,305.0,6827.0,4.4675552951516035
E14000532,Altrincham and Sale West,Aged 16+,Total,1255.0,80428.0,1.5604018501019545
E14000532,Altrincham and Sale West,Aged 16-24,Total,195.0,8515.0,2.2900763358778624
E14000533,Amber Valley,Aged 16+,Total,1660.0,76762.0,2.1625283343320914
E14000533,Amber Valley,Aged 16-24,Total,340.0,8181.0,4.155971152670823
E14000534,Arundel and South Downs,Aged 16+,Total,1275.0,85385.0,1.4932365169526265
E14000534,Arundel and South Downs,Aged 16-24,Total,185.0,7496.0,2.467982924226254
E14000535,Ashfield,Aged 16+,Total,2550.0,87712.0,2.907241882524626
E14000535,Ashfield,Aged 16-24,Total,625.0,10062.0,6.211488769628304
E14000536,Ashford,Aged 16+,Total,2545.0,99596.0,2.5553235069681515
E14000536,Ashford,Aged 16-24,Total,485.0,11540.0,4.202772963604852
E14000537,Ashton-under-Lyne,Aged 16+,Total,3570.0,74804.0,4.77247206031763
E14000537,Ashton-under-Lyne,Aged 16-24,Total,640.0,9404.0,6.8056146320714594
E14000538,Aylesbury,Aged 16+,Total,3045.0,100216.0,3.0384369761315555
E14000538,Aylesbury,Aged 16-24,Total,440.0,11249.0,3.9114587963374525
E14000539,Banbury,Aged 16+,Total,2325.0,101059.0,2.3006362619855727
E14000539,Banbury,Aged 16-24,Total,340.0,11176.0,3.042233357193987
E14000540,Barking,Aged 16+,Total,8265.0,102422.0,8.069555368963698
E14000540,Barking,Aged 16-24,Total,1240.0,15424.0,8.03941908713693
E14000541,Barnsley Central,Aged 16+,Total,2190.0,75771.0,2.8902878409945756
E14000541,Barnsley Central,Aged 16-24,Total,435.0,8564.0,5.079402148528725
E14000542,Barnsley East,Aged 16+,Total,1930.0,77509.0,2.4900334154743318
E14000542,Barnsley East,Aged 16-24,Total,430.0,9088.0,4.731514084507042
E14000543,Barrow and Furness,Aged 16+,Total,1360.0,71658.0,1.8979039325685898
E14000543,Barrow and Furness,Aged 16-24,Total,300.0,7899.0,3.79794910748196
E14000544,Basildon and Billericay,Aged 16+,Total,2460.0,75858.0,3.242901210155817
E14000544,Basildon and Billericay,Aged 16-24,Total,515.0,9202.0,5.5966094327320155
E14000545,Basingstoke,Aged 16+,Total,2440.0,91957.0,2.6534140957186514
E14000545,Basingstoke,Aged 16-24,Total,455.0,10901.0,4.173928997339694
E14000546,Bassetlaw,Aged 16+,Total,2175.0,89119.0,2.4405570080454226
E14000546,Bassetlaw,Aged 16-24,Total,450.0,9511.0,4.731363684155189
E14000547,Bath,Aged 16+,Total,1385.0,85105.0,1.6274014452734857
E14000547,Bath,Aged 16-24,Total,225.0,23420.0,0.9607173356105894
E14000548,Batley and Spen,Aged 16+,Total,3520.0,88208.0,3.9905677489570106
E14000548,Batley and Spen,Aged 16-24,Total,720.0,11062.0,6.508768757909962
E14000549,Battersea,Aged 16+,Total,3700.0,100759.0,3.6721285443483955
E14000549,Battersea,Aged 16-24,Total,470.0,10888.0,4.316678912564291
