date,freq,variable,value
1891-01-01,a,BBFW,6809.0
1892-01-01,a,BBFW,7382.0
1893-01-01,a,BBFW,30439.0
1894-01-01,a,BBFW,9506.0
1895-01-01,a,BBFW,5701.0
1896-01-01,a,BBFW,3565.0
1897-01-01,a,BBFW,10327.0
1898-01-01,a,BBFW,15257.0
1899-01-01,a,BBFW,2503.0
1900-01-01,a,BBFW,3088.0
1901-01-01,a,BBFW,4130.0
1902-01-01,a,BBFW,3438.0
1903-01-01,a,BBFW,2320.0
1904-01-01,a,BBFW,1464.0
1905-01-01,a,BBFW,2368.0
1906-01-01,a,BBFW,3019.0
1907-01-01,a,BBFW,2148.0
1908-01-01,a,BBFW,10785.0
1909-01-01,a,BBFW,2687.0
1910-01-01,a,BBFW,9867.0
1911-01-01,a,BBFW,10155.0
1912-01-01,a,BBFW,40890.0
1913-01-01,a,BBFW,9804.0
1914-01-01,a,BBFW,9878.0
1915-01-01,a,BBFW,2953.0
1916-01-01,a,BBFW,2446.0
1917-01-01,a,BBFW,5647.0
1918-01-01,a,BBFW,5875.0
1919-01-01,a,BBFW,34969.0
1920-01-01,a,BBFW,26568.0
1921-01-01,a,BBFW,85872.0
1922-01-01,a,BBFW,19850.0
1923-01-01,a,BBFW,10672.0
1924-01-01,a,BBFW,8424.0
1925-01-01,a,BBFW,7952.0
1926-01-01,a,BBFW,162233.0
1927-01-01,a,BBFW,1174.0
1928-01-01,a,BBFW,1388.0
1929-01-01,a,BBFW,8287.0
1930-01-01,a,BBFW,4399.0
1931-01-01,a,BBFW,6983.0
1931-01-01,m,BBFW,3647.0
1931-01-01,m,BLUU,50.0
1931-02-01,m,BBFW,1794.0
1931-02-01,m,BLUU,34.0
1931-03-01,m,BBFW,177.0
1931-03-01,m,BLUU,42.0
1931-04-01,m,BBFW,123.0
1931-04-01,m,BLUU,56.0
1931-05-01,m,BBFW,192.0
1931-05-01,m,BLUU,53.0
1931-06-01,m,BBFW,116.0
1931-06-01,m,BLUU,41.0
1931-07-01,m,BBFW,358.0
1931-07-01,m,BLUU,51.0
1931-08-01,m,BBFW,347.0
1931-08-01,m,BLUU,50.0
1931-09-01,m,BBFW,79.0
1931-09-01,m,BLUU,40.0
1931-10-01,m,BBFW,57.0
1931-10-01,m,BLUU,36.0
1931-11-01,m,BBFW,42.0
1931-11-01,m,BLUU,36.0
1931-12-01,m,BBFW,51.0
1931-12-01,m,BLUU,26.0
1932-01-01,a,BBFW,6488.0
1932-01-01,m,BBFW,217.0
1932-01-01,m,BLUU,39.0
1932-02-01,m,BBFW,178.0
1932-02-01,m,BLUU,44.0
1932-03-01,m,BBFW,25.0
1932-03-01,m,BLUU,42.0
1932-04-01,m,BBFW,58.0
1932-04-01,m,BLUU,46.0
1932-05-01,m,BBFW,92.0
1932-05-01,m,BLUU,44.0
1932-06-01,m,BBFW,80.0
1932-06-01,m,BLUU,59.0
1932-07-01,m,BBFW,251.0
1932-07-01,m,BLUU,49.0
1932-08-01,m,BBFW,1257.0
1932-08-01,m,BLUU,52.0
1932-09-01,m,BBFW,3327.0
1932-09-01,m,BLUU,53.0
1932-10-01,m,BBFW,205.0
1932-10-01,m,BLUU,38.0
1932-11-01,m,BBFW,740.0
1932-11-01,m,BLUU,29.0
1932-12-01,m,BBFW,58.0
1932-12-01,m,BLUU,21.0
1933-01-01,a,BBFW,1072.0
1933-01-01,m,BBFW,115.0
1933-01-01,m,BLUU,33.0
1933-02-01,m,BBFW,106.0
1933-02-01,m,BLUU,37.0
1933-03-01,m,BBFW,150.0
1933-03-01,m,BLUU,46.0
1933-04-01,m,BBFW,105.0
1933-04-01,m,BLUU,34.0
1933-05-01,m,BBFW,56.0
1933-05-01,m,BLUU,40.0
1933-06-01,m,BBFW,99.0
1933-06-01,m,BLUU,51.0
1933-07-01,m,BBFW,63.0
1933-07-01,m,BLUU,36.0
1933-08-01,m,BBFW,140.0
1933-08-01,m,BLUU,36.0
1933-09-01,m,BBFW,71.0
1933-09-01,m,BLUU,44.0
1933-10-01,m,BBFW,58.0
1933-10-01,m,BLUU,29.0
1933-11-01,m,BBFW,43.0
1933-11-01,m,BLUU,32.0
1933-12-01,m,BBFW,66.0
1933-12-01,m,BLUU,29.0
1934-01-01,a,BBFW,959.0
1934-01-01,m,BBFW,41.0
1934-01-01,m,BLUU,41.0
1934-02-01,m,BBFW,44.0
1934-02-01,m,BLUU,56.0
1934-03-01,m,BBFW,106.0
1934-03-01,m,BLUU,56.0
1934-04-01,m,BBFW,71.0
1934-04-01,m,BLUU,47.0
1934-05-01,m,BBFW,133.0
1934-05-01,m,BLUU,61.0
1934-06-01,m,BBFW,101.0
1934-06-01,m,BLUU,48.0
1934-07-01,m,BBFW,113.0
1934-07-01,m,BLUU,52.0
1934-08-01,m,BBFW,68.0
1934-08-01,m,BLUU,46.0
1934-09-01,m,BBFW,30.0
1934-09-01,m,BLUU,24.0
1934-10-01,m,BBFW,74.0
1934-10-01,m,BLUU,53.0
1934-11-01,m,BBFW,70.0
