REF_AREA,STRUCTURE_NAME,MEASURE,UNIT_MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,24.777299276
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,17.488948115
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,14.689095276
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,29.047334282
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2017,22.355117146
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2017,19.077167766
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,21.618593099
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,18.642998751
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,16.070018857
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,26.142435202
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2018,19.049508265
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2018,20.104191133
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,24.501076008
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,19.490630707
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,17.007293935
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,28.778071995
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2019,22.108724727
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2019,20.879693012
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,24.414084098
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,24.465594752
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,23.540800567
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,26.980863734
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2020,22.972814707
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2020,24.984874838
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,20.76840492
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,25.792874545
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,23.328719487
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,23.928183355
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2021,19.012299176
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2021,27.162374636
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,23.63533334
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,24.467466543
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,22.242503593
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,28.606361436
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2022,20.756491956
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2022,25.755995857
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,29.734368515
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,26.303139761
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,24.355648286
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,33.206459256
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2023,27.691022624
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2023,27.449249987
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,31.060317944
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,27.562723374
ARG,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2024,25.440672528
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,33.223696534
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,27.492513868
ARG,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2024,31.059527778
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1975,11.250855376
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1975,20.733704553
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1975,7.4120727948
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1976,11.590102618
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1976,19.985091933
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1976,8.1696699737
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1977,11.706900235
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1977,19.860655081
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1977,8.2720464206
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1978,12.772321534
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1978,21.024664922
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1978,9.2864321608
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1979,13.589886596
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1979,21.47479428
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1979,10.358839915
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1980,13.540324066
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1980,22.11269792
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1980,9.9267111635
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1981,13.934407905
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1981,21.512770138
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1981,10.750230181
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1982,14.362218958
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1982,26.913543153
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1982,12.668864327
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1983,14.579724205
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1983,23.434542288
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1983,10.689357176
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1984,14.445819737
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1984,22.451051487
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1984,10.843530755
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1985,13.467420725
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1985,10.602292982
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1985,2.9859076322
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1985,21.110646016
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1985,9.9456748851
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1985,14.114886367
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1986,13.975608709
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1986,11.789839825
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1986,4.6424510001
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1986,20.743862466
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1986,10.77312253
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1986,15.168379447
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1987,13.936388509
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1987,12.175102599
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1987,4.128775307
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1987,20.995685363
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1987,10.583561903
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1987,15.996721208
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1988,14.526388522
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1988,12.864023411
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1988,4.7779441118
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1988,21.095309381
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1988,11.351921628
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1988,16.771665411
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1989,14.54367601
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1989,13.059588052
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1989,4.3434059552
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1989,20.530878752
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1989,11.569175581
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1989,17.38987191
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1990,14.740810635
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1990,12.145570539
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1990,4.2016347944
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1990,20.883764866
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1990,11.601026104
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1990,16.206720258
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1991,13.91514708
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1991,13.410989815
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1991,5.9268146371
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1991,19.442111578
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1991,11.078995111
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1991,17.247317118
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1992,13.864516684
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1992,13.418074286
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1992,6.4066257818
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1992,18.245876636
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1992,11.590839791
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1992,17.05661771
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1993,13.167436479
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1993,13.254473358
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1993,5.4879804085
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1993,16.94923207
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1993,11.167649929
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1993,17.361339465
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1994,13.507942322
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1994,14.394756812
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1994,6.2337125318
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1994,17.382355914
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1994,11.481103662
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1994,18.670490419
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1995,13.829037167
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1995,14.509153749
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1995,5.5657178835
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1995,17.408853839
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1995,11.888762096
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1995,19.356532051
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1997,12.177550215
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1997,15.230324511
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1997,7.0687351983
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1997,15.706948608
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1997,10.321304998
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1997,19.522815591
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1998,12.761721428
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1998,16.6521402
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1998,8.4046983451
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1998,15.543417023
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1998,11.262540446
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1998,21.090864295
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1999,14.353784828
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1999,17.774829315
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1999,9.0759288351
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1999,17.83153077
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,1999,12.467505282
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,1999,22.489770818
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2000,16.354819508
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2000,16.002610838
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2000,7.7156196428
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2000,19.504909341
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2000,14.586610159
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2000,20.654267165
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2001,15.53776913
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2001,17.239533985
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2001,9.0241851617
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2001,18.18241942
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2001,14.048184757
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2001,21.857420266
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2002,15.12831888
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2002,15.989682586
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2002,8.2788116257
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2002,17.997894597
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2002,13.512719461
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2002,20.330978959
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2003,14.920193357
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2003,16.109061137
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2003,8.1721357111
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2003,18.838469731
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2003,12.704705002
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2003,20.59679099
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,15.45430099
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,18.174541692
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,11.003270722
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,18.896283587
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2004,13.496142773
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2004,22.251525439
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,15.815597134
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,16.784694248
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,8.805696881
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,20.007821408
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2005,13.451737967
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2005,21.283791824
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,15.155183212
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,17.816939919
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,9.6476273227
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,19.187710263
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2006,12.840817855
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2006,22.50550712
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,15.972649436
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,18.691229837
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,10.750644537
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,20.092160084
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2007,13.648544005
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2007,23.171071985
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2008,17.510709532
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2008,16.55408194
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2008,9.1609745545
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2008,21.150452773
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2008,15.450847007
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2008,20.738109173
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2009,14.51990941
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2009,18.953634404
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2009,11.585340609
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2009,18.680628747
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2009,12.093876519
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2009,23.24994032
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2010,15.98026562
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2010,20.386124164
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2010,12.0186541
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2010,19.643657558
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2010,13.873785662
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2010,25.197487044
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2011,16.854955151
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2011,20.438141444
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2011,12.047979958
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2011,20.642070215
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2011,14.704816303
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2011,25.201665091
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2012,17.588759581
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2012,20.055440804
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2012,11.991914918
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2012,21.530581883
AUS,Incidence of low and high pay,LP_I,PT_EMP_FT,A,2012,15.305347125
AUS,Incidence of low and high pay,HP_I,PT_EMP_FT,A,2012,24.724196905
