date,Sector,key_youth_sectors,wanted_youth_sectors,variable,value
2025-03-01,Electricity gas steam & air conditioning supply,False,False,Growth since previous quarter (%),20.0
2025-03-01,Wholesale & retail trade; repair of motor vehicles and motor cycles,False,False,Growth since previous quarter (%),-0.8
2025-03-01,Human health & social work activities,True,False,Growth since previous quarter (%),-2.4
2025-03-01,Accommodation & food service activities,True,False,Growth since previous quarter (%),-4.2
2025-03-01,Transport & storage,False,False,Growth since previous quarter (%),-8.0
2025-03-01,Professional scientific & technical activities,False,True,Growth since previous quarter (%),-13.2
2025-03-01,Manufacturing,False,False,Growth since previous quarter (%),-14.9
2025-03-01,Construction,False,False,Growth since previous quarter (%),-20.6
2025-03-01,Other service activities,False,False,Growth since previous quarter (%),-36.9
2025-03-01,Electricity gas steam & air conditioning supply,False,False,Growth since pre-coronavirus January to March 2020 (%),-6.7
2025-03-01,Wholesale & retail trade; repair of motor vehicles and motor cycles,False,False,Growth since pre-coronavirus January to March 2020 (%),-10.3
2025-03-01,Human health & social work activities,True,False,Growth since pre-coronavirus January to March 2020 (%),-16.7
2025-03-01,Accommodation & food service activities,True,False,Growth since pre-coronavirus January to March 2020 (%),-19.3
2025-03-01,Transport & storage,False,False,Growth since pre-coronavirus January to March 2020 (%),-7.5
2025-03-01,Professional scientific & technical activities,False,True,Growth since pre-coronavirus January to March 2020 (%),-21.8
2025-03-01,Manufacturing,False,False,Growth since pre-coronavirus January to March 2020 (%),-24.8
2025-03-01,Construction,False,False,Growth since pre-coronavirus January to March 2020 (%),-12.9
2025-03-01,Other service activities,False,False,Growth since pre-coronavirus January to March 2020 (%),-44.1
